home_type,posted,home_URL,home_status,home_price,home_address,home_zipcode,num_beds,num_baths,home_area
MULTI_FAMILY,17,https://www.zillow.com/homedetails/8228-Penelope-Ave-Flushing-NY-11379/31996534_zpid/,FOR_SALE,"$920,000","82-28 Penelope Avenue, Middle Village, NY 11379",11379,3,2,1780
CONDO,320,https://www.zillow.com/homedetails/648-Grand-St-APT-4B-Brooklyn-NY-11211/335699891_zpid/,FOR_SALE,"$499,000","648 Grand St APT 4B, Brooklyn, NY 11211",11211,2,1,0
CONDO,153,https://www.zillow.com/homedetails/21-47-33rd-2B-Astoria-NY-11105/2092626289_zpid/,FOR_SALE,"$318,900","21-47 33rd #2B, Astoria, NY 11105",11105,2,1,0
SINGLE_FAMILY,210,https://www.zillow.com/homedetails/127-Alaska-St-Staten-Island-NY-10310/32275920_zpid/,FOR_SALE,"$474,000","127 Alaska St, Staten Island, NY 10310",10310,3,3,1140
CONDO,187,https://www.zillow.com/homedetails/941-Jerome-Ave-APT-3B-Bronx-NY-10452/244475283_zpid/,FOR_SALE,"$145,000","941 Jerome Avenue UNIT 3B, Bronx, NY 10452",10452,1,2,650
CONDO,320,https://www.zillow.com/homedetails/414-61st-St-APT-4A-Brooklyn-NY-11220/2088421001_zpid/,FOR_SALE,"$330,000","414 61st St APT 4A, Brooklyn, NY 11220",11220,2,1,0
SINGLE_FAMILY,6,https://www.zillow.com/homedetails/2866-Middletown-Rd-Bronx-NY-10461/29842609_zpid/,FOR_SALE,"$749,000","2866 Middletown Road, Bronx, NY 10461",10461,3,2,1320
SINGLE_FAMILY,11,https://www.zillow.com/homedetails/208-Ilyssa-Way-Staten-Island-NY-10312/32360142_zpid/,FOR_SALE,"$549,888","208 Ilyssa Way, Staten Island, NY 10312",10312,3,4,1679
SINGLE_FAMILY,91,https://www.zillow.com/homedetails/95-Montgomery-Ave-Staten-Island-NY-10301/2126506248_zpid/,FOR_SALE,"$160,000","95 Montgomery Ave, Staten Island, NY 10301",10301,,0,5000
SINGLE_FAMILY,32,https://www.zillow.com/homedetails/1017-Rhinelander-Ave-Bronx-NY-10462/29817656_zpid/,FOR_SALE,"$749,000","1017 Rhinelander Avenue, Bronx, NY 10462",10462,3,3,1580
MULTI_FAMILY,103,https://www.zillow.com/homedetails/280-Hancock-St-Brooklyn-NY-11216/30610462_zpid/,FOR_SALE,"$1,299,000","280 Hancock St, Brooklyn, NY 11216",11216,7,5,2700
CONDO,68,https://www.zillow.com/homedetails/10-Leonard-St-APT-6S-New-York-NY-10013/122062652_zpid/,FOR_SALE,"$3,195,000","10 Leonard St APT 6S, New York, NY 10013",10013,3,3,1900
TOWNHOUSE,70,https://www.zillow.com/homedetails/239-Finley-Ave-Staten-Island-NY-10306/32335185_zpid/,FOR_SALE,"$548,888","239 Finley Ave, Staten Island, NY 10306",10306,2,2,1080
CONDO,157,https://www.zillow.com/homedetails/226-29-Manor-Rd-L-Queens-Village-NY-11427/2072485651_zpid/,FOR_SALE,"$269,999","226-29 Manor Rd #L, Queens Village, NY 11427",11427,2,1,0
CONDO,14,https://www.zillow.com/homedetails/1480-Thieriot-Ave-APT-5L-Bronx-NY-10460/439603735_zpid/,FOR_SALE,"$320,000","1480 Thieriot Avenue UNIT 5L, Bronx, NY 10460",10460,3,2,1100
SINGLE_FAMILY,24,https://www.zillow.com/homedetails/1562-Allerton-Ave-Bronx-NY-10469/29822266_zpid/,FOR_SALE,"$699,000","1562 Allerton Avenue, Bronx, NY 10469",10469,3,3,1408
SINGLE_FAMILY,28,https://www.zillow.com/homedetails/80-24-Penelope-Ave-Middle-Village-NY-11379/2061245796_zpid/,FOR_SALE,"$1,349,000","80-24 Penelope Ave, Middle Village, NY 11379",11379,3,3,0
CONDO,140,https://www.zillow.com/homedetails/235-E-49th-St-APT-1CD-New-York-NY-10017/72524350_zpid/,FOR_SALE,"$949,000","235 E 49th St APT 1CD, New York, NY 10017",10017,2,2,2316
CONDO,41,https://www.zillow.com/homedetails/21-16-35th-St-1F-Astoria-NY-11105/2077592710_zpid/,FOR_SALE,"$345,000","21-16 35th St #1F, Astoria, NY 11105",11105,2,1,800
SINGLE_FAMILY,5,https://www.zillow.com/homedetails/10921-167th-St-Jamaica-NY-11433/32139172_zpid/,FOR_SALE,"$795,000","109-21 167th Street, Jamaica, NY 11433",11433,3,3,
SINGLE_FAMILY,25,https://www.zillow.com/homedetails/24120-83rd-Ave-Jamaica-NY-11426/32090367_zpid/,FOR_SALE,"$735,000","241-20 83rd Avenue, Bellerose, NY 11426",11426,3,2,948
CONDO,320,https://www.zillow.com/homedetails/110-Cambridge-Pl-APT-3C-Brooklyn-NY-11238/245067516_zpid/,FOR_SALE,"$675,000","110 Cambridge Pl APT 3C, Brooklyn, NY 11238",11238,3,1,940
CONDO,320,https://www.zillow.com/homedetails/110-Cambridge-Pl-APT-3C-Brooklyn-NY-11238/245067516_zpid/,FOR_SALE,"$675,000","110 Cambridge Pl APT 3C, Brooklyn, NY 11238",11238,3,1,940
CONDO,55,https://www.zillow.com/homedetails/638-Warren-St-APT-4L-Brooklyn-NY-11217/440924779_zpid/,FOR_SALE,"$550,000","638 Warren St APT 4L, Brooklyn, NY 11217",11217,1,1,0
CONDO,11,https://www.zillow.com/homedetails/2575-Palisade-Ave-APT-1L-Bronx-NY-10463/244467262_zpid/,FOR_SALE,"$595,000","2575 Palisade Ave APT 1L, Bronx, NY 10463",10463,3,2,1500
CONDO,55,https://www.zillow.com/homedetails/1278-Saint-Marks-Ave-3-Brooklyn-NY-11213/120730006_zpid/,FOR_SALE,"$650,000","1278 Saint Marks Ave #3, Brooklyn, NY 11213",11213,3,1,1319
CONDO,134,https://www.zillow.com/homedetails/120-Pulaski-St-2A-Brooklyn-NY-11206/245027060_zpid/,FOR_SALE,"$949,900","120 Pulaski St #2A, Brooklyn, NY 11206",11206,2,2,1150
CONDO,7,https://www.zillow.com/homedetails/68-20-Burns-St-B2-Forest-Hills-NY-11375/2077138413_zpid/,FOR_SALE,"$439,000","68-20 Burns Street UNIT B2, Forest Hills, NY 11375",11375,2,1,
CONDO,18,https://www.zillow.com/homedetails/92-Prospect-Park-W-APT-2C-Brooklyn-NY-11215/245050034_zpid/,FOR_SALE,"$825,000","92 Prospect Park W APT 2C, Brooklyn, NY 11215",11215,2,1,0
CONDO,102,https://www.zillow.com/homedetails/907-Prospect-Ave-B-Bronx-NY-10459/29779781_zpid/,FOR_SALE,"$338,000","907 Prospect Avenue UNIT B, New York 10459",10459,3,2,1072
SINGLE_FAMILY,11,https://www.zillow.com/homedetails/723-King-Ave-Bronx-NY-10464/29851269_zpid/,FOR_SALE,"$635,000","723 King Ave, Bronx, NY 10464",10464,3,2,1400
CONDO,11,https://www.zillow.com/homedetails/410-Central-Park-W-1D2D-New-York-NY-10025/112561153_zpid/,FOR_SALE,"$1,795,000","410 Central Park W #1D2D, New York, NY 10025",10025,3,2,1700
SINGLE_FAMILY,11,https://www.zillow.com/homedetails/16327-86th-St-Jamaica-NY-11414/32216260_zpid/,FOR_SALE,"$1,100,000","163-27 86th Street, Howard Beach, NY 11414",11414,4,4,
MULTI_FAMILY,77,https://www.zillow.com/homedetails/21-Sprague-Ave-Staten-Island-NY-10307/32375141_zpid/,FOR_SALE,"$1,650,000","21 Sprague Ave, Staten Island, NY 10307",10307,6,4,5347
MULTI_FAMILY,124,https://www.zillow.com/homedetails/1947-Hendrickson-St-Brooklyn-NY-11234/30785428_zpid/,FOR_SALE,"$928,000","1947 Hendrickson St, Brooklyn, NY 11234",11234,3,4,1600
SINGLE_FAMILY,104,https://www.zillow.com/homedetails/6-32-150th-Pl-Whitestone-NY-11357/2080339355_zpid/,FOR_SALE,"$1,748,888","6-32 150th Place, Whitestone, NY 11357",11357,3,4,2224
CONDO,11,https://www.zillow.com/homedetails/18-75-Corporal-Kennedy-St-UNIT-2F-Bayside-NY-11360/442611776_zpid/,FOR_SALE,"$355,000","18-75 Corporal Kennedy St UNIT 2F, Bayside, NY 11360",11360,2,2,1282
MULTI_FAMILY,14,https://www.zillow.com/homedetails/3272-43rd-St-Long-Island-City-NY-11103/31941300_zpid/,FOR_SALE,"$1,149,000","3272 43rd St, Long Island City, NY 11103",11103,2,2,1500
SINGLE_FAMILY,557,https://www.zillow.com/homedetails/267-Dover-St-Brooklyn-NY-11235/30790915_zpid/,FOR_SALE,"$2,600,000","267 Dover St, Brooklyn, NY 11235",11235,4,5,4300
MULTI_FAMILY,13,https://www.zillow.com/homedetails/14626-25th-Dr-Flushing-NY-11354/32033188_zpid/,FOR_SALE,"$1,550,000","146-26 25th Drive, Flushing, NY 11354",11354,6,4,2140
CONDO,76,https://www.zillow.com/homedetails/235-E-22nd-St-APT-4N-New-York-NY-10010/244794813_zpid/,FOR_SALE,"$385,000","235 E 22nd St APT 4N, New York, NY 10010",10010,0,1,0
CONDO,55,https://www.zillow.com/homedetails/90-8th-Ave-SUITE-1B-Brooklyn-NY-11215/245001637_zpid/,FOR_SALE,"$850,000","90 8th Ave SUITE 1B, Brooklyn, NY 11215",11215,3,1,1200
CONDO,7,https://www.zillow.com/homedetails/9411-69th-Ave-APT-307-Flushing-NY-11375/245468260_zpid/,FOR_SALE,"$399,000","9411 69th Ave APT 307, Flushing, NY 11375",11375,2,1,1000
MULTI_FAMILY,11,https://www.zillow.com/homedetails/3402-Avenue-J-Brooklyn-NY-11210/30752796_zpid/,FOR_SALE,"$1,500,000","3402 Avenue J, Midwood, NY 11210",11210,8,4,2350
